epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,27652,0.61968,0.28844,0.78849,0.90764,0.69358,0.80775,0.60703,0.64498,0.28412,0.79034,0.001486,0.001486,0.001486
131,27863.2,0.61921,0.28813,0.78967,0.90862,0.69297,0.80784,0.60718,0.64526,0.28418,0.79035,0.00142,0.00142,0.00142
132,28074.7,0.61861,0.28681,0.78963,0.90897,0.69267,0.80792,0.60703,0.64521,0.2843,0.79034,0.001354,0.001354,0.001354
133,28284.1,0.61672,0.28617,0.78884,0.9088,0.69326,0.80809,0.60734,0.6453,0.28402,0.79031,0.001288,0.001288,0.001288
134,28493.4,0.61602,0.28519,0.78886,0.90886,0.6931,0.80816,0.60705,0.64536,0.2839,0.79036,0.001222,0.001222,0.001222
135,28704.1,0.60827,0.28243,0.78812,0.90933,0.69297,0.8081,0.60725,0.64543,0.28397,0.79037,0.001156,0.001156,0.001156
136,28916.6,0.60903,0.28286,0.78727,0.90928,0.69324,0.80836,0.60756,0.64566,0.2842,0.79038,0.00109,0.00109,0.00109
137,29127.8,0.60993,0.28208,0.78735,0.90983,0.69374,0.80864,0.608,0.64558,0.28419,0.79042,0.001024,0.001024,0.001024
138,29337.9,0.60424,0.27974,0.78746,0.90831,0.69385,0.80846,0.6077,0.64564,0.28414,0.79036,0.000958,0.000958,0.000958
139,29548,0.60761,0.28131,0.78716,0.90904,0.69465,0.8086,0.60778,0.64548,0.28407,0.79036,0.000892,0.000892,0.000892
140,29758.8,0.6017,0.27757,0.78676,0.90881,0.69446,0.80843,0.60778,0.64557,0.28412,0.79031,0.000826,0.000826,0.000826
141,29997.5,0.59722,0.27258,0.78472,0.90884,0.69469,0.80877,0.60807,0.64576,0.28411,0.79029,0.00076,0.00076,0.00076
142,30205.8,0.59099,0.27124,0.78293,0.90826,0.69452,0.8089,0.60804,0.64564,0.28432,0.7903,0.000694,0.000694,0.000694
143,30413.4,0.58545,0.26918,0.78231,0.9088,0.6953,0.80929,0.60794,0.64582,0.28451,0.79031,0.000628,0.000628,0.000628
144,30619.5,0.58615,0.26892,0.78254,0.90884,0.69502,0.80948,0.60811,0.64612,0.28483,0.79033,0.000562,0.000562,0.000562
145,30825.8,0.58379,0.26799,0.78184,0.90872,0.69509,0.80947,0.60787,0.64611,0.2852,0.79029,0.000496,0.000496,0.000496
146,31034,0.57924,0.26552,0.78182,0.90882,0.69418,0.80954,0.6083,0.64621,0.28546,0.79029,0.00043,0.00043,0.00043
147,31242,0.57533,0.26389,0.7805,0.90959,0.69418,0.80958,0.60838,0.64634,0.2856,0.79031,0.000364,0.000364,0.000364
148,31449.3,0.57343,0.26174,0.78115,0.90961,0.69447,0.8099,0.60837,0.64673,0.28573,0.79031,0.000298,0.000298,0.000298
149,31656,0.57031,0.26092,0.78062,0.90986,0.69402,0.80966,0.60802,0.64691,0.28624,0.79031,0.000232,0.000232,0.000232
150,31862.6,0.57074,0.26008,0.78093,0.91014,0.69437,0.8098,0.60845,0.64699,0.28671,0.7903,0.000166,0.000166,0.000166
